2MASSJ00023429-1924590,00:02:34.310,-19:24:59.03,0.643,-19.416,10.906,1.283,8.585,0.810,0.018,4303,-9.99,-1.85,1,MaXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000234.3-192459
2MASSJ00024590-3257344,00:02:45.970,-32:57:35.07,0.692,-32.960,12.029,0.681,10.583,0.509,0.011,4958,-9.99,-2.01,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000245.9-325734/TYC6992-1023-1
2MASSJ00031089+1556017,00:03:10.892,+15:56:01.78,0.795,15.934,12.321,0.638,10.820,0.491,0.037,5289,1.09,-2.62,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_2_sp01-145
2MASSJ00032288+2540199,00:03:22.884,+25:40:19.97,0.845,25.672,15.096,0.949,13.182,0.668,0.032,4663,1.60,-2.07,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000006N255311B01-57733-08033(-0.60)
2MASSJ00035114-1231539,00:03:51.140,-12:31:54.13,0.963,-12.532,12.879,0.777,11.253,0.572,0.026,4635,-9.99,-2.32,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000351.1-123154/K214425/R403800
2MASSJ00041270-5613544,00:04:12.700,-56:13:54.40,1.053,-56.232,13.539,0.766,11.876,0.589,0.009,4950,1.88,-2.25,0,XxXxXx,00000000,XXXSXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,SMSSDR1317365656
2MASSJ00041407+4031020,00:04:14.078,+40:31:02.02,1.059,40.517,14.191,1.069,12.185,0.734,0.078,4485,1.06,-2.32,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,VB002N40V1-56611-03173
2MASSJ00041581-5815524,00:04:15.820,-58:15:52.46,1.066,-58.265,10.920,1.479,8.398,0.772,0.009,4362,-9.99,-2.09,1,MaXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000415.8-581553/R244753
2MASSJ00041786+1746594,00:04:17.852,+17:46:59.42,1.074,17.783,13.209,0.998,11.353,0.631,0.023,5196,3.75,-2.80,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_2_sp04-075
2MASSJ00042182-0135452,00:04:21.800,-01:35:45.50,1.091,-1.596,13.401,0.622,11.904,0.500,0.029,5375,2.50,-2.75,0,XxXxXx,00000000,XXXSXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,SMSSDR18273847
2MASSJ00043163+4309108,00:04:31.645,+43:09:10.92,1.132,43.153,12.716,0.566,11.420,0.386,0.080,5544,-9.99,-2.06,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,HD000308N424452V01-57010-04202
2MASSJ00043732-3112348,00:04:37.330,-31:12:35.98,1.156,-31.210,11.905,0.488,10.839,0.356,0.012,5849,-9.99,-1.82,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000437.3-311235
2MASSJ00043841-5401338,00:04:38.440,-54:01:34.03,1.160,-54.026,12.375,0.795,10.712,0.592,0.011,4685,-9.99,-2.20,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000438.4-540134/R476161
2MASSJ00044155-0940211,00:04:41.520,-09:40:19.20,1.173,-9.672,13.073,0.771,11.387,0.568,0.029,5053,2.17,-2.15,0,XxXxXx,00000000,XXXSXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,SK_EDR1023216008/SMSSDR18060359/
2MASSJ00044946-6842196,00:04:49.470,-68:42:19.70,1.206,-68.705,11.726,1.032,9.912,0.761,0.025,4323,-9.99,-1.82,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000449.5-684220
2MASSJ00045403+3524010,00:04:54.031,+35:24:01.06,1.225,35.400,12.174,0.699,10.576,0.513,0.063,5381,3.15,-2.52,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,VB002N36V3-56262-05212(+0.53)
2MASSJ00045484+2313589,00:04:54.848,+23:13:59.19,1.229,23.233,14.344,1.284,12.108,0.805,0.073,4377,1.44,-1.86,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG001201N232818V01-57727-10247(-0.55)
2MASSJ00052681+1742058,00:05:26.810,+17:42:05.85,1.362,17.702,10.731,0.984,8.780,0.676,0.025,4481,1.62,-1.67,1,TeChXx,20200111,XXLXXXX,1,MCD27,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_1-56199-04230(-0.37)
2MASSJ00054548-0728589,00:05:45.500,-07:28:59.20,1.440,-7.483,13.311,0.718,11.745,0.483,0.029,5075,2.62,-2.25,0,XxXxXx,00000000,XXXSXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,SMSSDR18075603
2MASSJ00060902-6238019,00:06:09.010,-62:38:01.98,1.538,-62.634,11.897,0.971,10.034,0.638,0.012,4572,-9.99,-2.20,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000609.0-623802
2MASSJ00061112+0314115,00:06:11.118,+03:14:11.65,1.546,3.237,13.922,0.648,12.580,0.398,0.017,5563,3.49,-2.45,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000954N044957V01-56618-02233(+0.62)
2MASSJ00061531+1721136,00:06:15.321,+17:21:13.58,1.564,17.354,11.940,1.003,9.970,0.660,0.025,4611,1.64,-2.08,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_1-56199-08042
2MASSJ00061918+1522161,00:06:19.188,+15:22:16.36,1.580,15.371,11.138,0.433,9.909,0.305,0.058,4546,2.32,-1.42,1,ChXxXx,20200213,XXLXXXX,1,APO35,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_1-56199-07167(-1.03)
2MASSJ00062590+0949298,00:06:25.901,+09:49:29.85,1.608,9.825,14.221,0.797,12.389,0.610,0.096,5083,2.32,-2.00,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000015N080026V01-57739-12182(+0.16)
2MASSJ00062986-5049319,00:06:29.760,-50:49:30.00,1.624,-50.825,10.526,0.847,8.808,0.600,0.010,4875,1.12,-2.50,1,MaXxXx,00000000,XXXSXHX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,HE0003-5106/SMSSDR1317786316/
2MASSJ00063781+0123433,00:06:37.822,+01:23:43.27,1.658,1.395,13.153,0.769,11.881,0.400,0.024,5500,2.52,-2.58,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000023N024031B01_sp07-197
2MASSJ00070816+2602513,00:07:08.166,+26:02:51.30,1.784,26.048,13.054,0.704,11.735,0.491,0.025,5239,1.65,-2.65,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000006N255311V01-57733-13221(+0.20)
2MASSJ00072085-6323393,00:07:20.900,-63:23:39.30,1.837,-63.394,12.749,0.836,10.976,0.637,0.016,4825,1.50,-2.75,1,MnXxXx,20180920,XXXSXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,SMSSDR1317167932
2MASSJ00072163-1348239,00:07:21.600,-13:48:25.20,1.840,-13.807,10.508,0.696,9.021,0.542,0.030,5070,2.96,-1.73,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000721.6-134824
2MASSJ00073817-0345509,00:07:38.170,-03:45:51.00,1.909,-3.764,11.581,1.001,9.829,0.644,0.035,4571,-9.99,-2.00,1,ChXxXx,20160911,RXXXXXX,1,APO35,0,XXXXX,1,0,SAKA18BS,XXXXXXXX,XXXXXXXX,J000738.2-034551/R328958
2MASSJ00082196+0529423,00:08:21.962,+05:29:42.26,2.092,5.495,14.194,1.704,11.426,0.858,0.025,3971,-9.99,-2.37,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000954N044957V01-56618-15199
2MASSJ00084160-5044181,00:08:41.610,-50:44:18.35,2.173,-50.738,11.726,0.945,9.876,0.651,0.015,4576,-9.99,-1.94,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000841.6-504418
2MASSJ00091409+1728209,00:09:14.095,+17:28:20.95,2.309,17.472,11.928,0.609,10.504,0.429,0.028,5720,3.24,-2.02,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308V_2_sp09-245
2MASSJ00093394-1857008,00:09:33.970,-18:57:01.09,2.392,-18.950,11.208,0.796,9.580,0.608,0.020,4662,-9.99,-2.04,1,TeXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000934.0-185701/TYC5841-1096-1
2MASSJ00094899+1221540,00:09:48.977,+12:21:53.89,2.454,12.365,11.947,0.963,9.978,0.641,0.076,4585,2.81,-3.44,1,KaXxXx,20180723,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000024N121601B01_sp13-072
2MASSJ00095381-6126178,00:09:53.810,-61:26:17.86,2.474,-61.438,11.472,1.050,9.495,0.745,0.013,4378,-9.99,-2.02,0,XxXxXx,00000000,RXXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J000953.8-612618
2MASSJ00095918+1815241,00:09:59.242,+18:15:23.80,2.497,18.257,13.861,0.784,12.074,0.588,0.043,5050,2.19,-2.14,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000313N173308M01-57691-13157(+0.32)
2MASSJ00100749+4046285,00:10:07.498,+40:46:28.51,2.531,40.775,11.647,0.882,9.785,0.605,0.062,4674,1.48,-1.79,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,VB002N40V2-56611-04053(-0.58)
2MASSJ00101758-1735387,00:10:17.520,-17:35:38.40,2.573,-17.594,11.539,0.653,10.119,0.477,0.026,5461,-9.99,-2.39,1,RaXxXx,00000000,XXXXXHX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,HE0007-1752
2MASSJ00102148+0653458,00:10:21.472,+06:53:45.82,2.589,6.896,14.023,0.807,15.378,0.614,0.070,5299,3.23,-2.00,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000954N044957B01-56618-11115(-0.04)
2MASSJ00103265+0557591,00:10:32.655,+05:57:59.13,2.636,5.966,13.942,1.329,11.585,0.766,0.030,4181,0.68,-3.58,0,XxXxXx,00000000,XXLXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,EG000954N044957V01-56618-15128
2MASSJ00104161-5513004,00:10:41.520,-55:13:01.20,2.673,-55.217,13.455,0.780,11.775,0.580,0.011,5077,-9.99,-2.44,0,XxXxXx,00000000,XBXXXXX,0,XXXXX,0,XXXXX,0,0,XXXXXXXX,XXXXXXXX,XXXXXXXX,J001041.63-551300.6
