wave,norm,flux
3000.00,0.920241,695081.
3001.00,0.872887,659772.
3002.00,0.846789,640653.
3003.00,0.845863,640633.
3004.00,0.886855,672391.
3005.00,0.926702,703290.
3006.00,0.923286,701372.
3007.00,0.892981,679040.
3008.00,0.882254,671593.
3009.00,0.899898,685734.
3010.00,0.924354,705079.
3011.00,0.931517,711238.
3012.00,0.924280,706427.
3013.00,0.927483,709596.
3014.00,0.924640,708120.
3015.00,0.911618,698848.
3016.00,0.898790,689703.
3017.00,0.880052,675998.
3018.00,0.864404,664647.
3019.00,0.840605,646973.
3020.00,0.792586,610618.
3021.00,0.789546,608962.
3022.00,0.870791,672324.
3023.00,0.928306,717376.
3024.00,0.916195,708676.
3025.00,0.882043,682936.
3026.00,0.876675,679495.
3027.00,0.918231,712431.
3028.00,0.949106,737074.
3029.00,0.932078,724528.
3030.00,0.899266,699716.
3031.00,0.888356,691931.
3032.00,0.906852,707054.
3033.00,0.938466,732414.
3034.00,0.957175,747733.
3035.00,0.962846,752884.
3036.00,0.945331,739883.
3037.00,0.904712,708778.
3038.00,0.893664,700845.
3039.00,0.917265,720056.
3040.00,0.917699,721064.
3041.00,0.892189,701693.
3042.00,0.881195,693746.
3043.00,0.900725,709821.
3044.00,0.918004,724120.
3045.00,0.924449,729902.
3046.00,0.924883,730935.
3047.00,0.911741,721236.
3048.00,0.914752,724338.
3049.00,0.935708,741637.
3050.00,0.939239,745128.
3051.00,0.938719,745436.
3052.00,0.946751,752526.
3053.00,0.936549,745106.
3054.00,0.919308,732092.
3055.00,0.920137,733457.
3056.00,0.910136,726143.
3057.00,0.866014,691580.
3058.00,0.842031,673101.
3059.00,0.863646,691059.
3060.00,0.904477,724414.
3061.00,0.936738,750938.
3062.00,0.940795,754872.
3063.00,0.916840,736319.
3064.00,0.881293,708436.
3065.00,0.853857,687023.
3066.00,0.818945,659542.
3067.00,0.802545,646974.
3068.00,0.836417,674940.
3069.00,0.887110,716502.
3070.00,0.910339,735913.
3071.00,0.897790,726417.
3072.00,0.875693,709202.
3073.00,0.883274,716030.
3074.00,0.900791,730885.
3075.00,0.891222,723775.
3076.00,0.897798,729815.
3077.00,0.916254,745486.
3078.00,0.907225,738802.
3079.00,0.902510,735651.
3080.00,0.909326,741881.
3081.00,0.904209,738370.
3082.00,0.897990,733967.
3083.00,0.903973,739541.
3084.00,0.920879,754062.
3085.00,0.937021,767966.
3086.00,0.933868,766054.
3087.00,0.909668,746866.
3088.00,0.885747,727890.
3089.00,0.869119,714870.
3090.00,0.850810,700440.
3091.00,0.829211,683265.
3092.00,0.796709,657069.
3093.00,0.792513,654245.
3094.00,0.847888,700610.
3095.00,0.886897,733450.
3096.00,0.870703,720668.
3097.00,0.850772,704823.
3098.00,0.858804,712115.
3099.00,0.841231,698129.
3100.00,0.803857,667712.
3101.00,0.792508,658894.
3102.00,0.814354,677686.
3103.00,0.865899,721225.
3104.00,0.898042,748619.
3105.00,0.886126,739313.
3106.00,0.880965,735685.
3107.00,0.915115,764895.
