wave,norm,flux
3000.00,0.272722,67638.4
3001.00,0.166558,41388.9
3002.00,0.133056,33207.1
3003.00,0.174816,43834.7
3004.00,0.286296,72016.0
3005.00,0.384366,96887.4
3006.00,0.368020,92956.2
3007.00,0.267139,67646.9
3008.00,0.189521,48183.7
3009.00,0.202217,51673.0
3010.00,0.287522,73712.8
3011.00,0.338272,86913.4
3012.00,0.324859,83724.3
3013.00,0.337942,87416.7
3014.00,0.354742,92028.8
3015.00,0.331535,86258.6
3016.00,0.292258,76274.6
3017.00,0.236157,61803.1
3018.00,0.164542,43180.4
3019.00,0.103224,27168.7
3020.00,0.0640201,16915.9
3021.00,0.0740367,19695.9
3022.00,0.155305,41456.8
3023.00,0.250514,66989.1
3024.00,0.270598,72498.9
3025.00,0.224881,60423.4
3026.00,0.226377,61127.4
3027.00,0.332158,90018.5
3028.00,0.428217,116318.
3029.00,0.433168,117961.
3030.00,0.384449,105011.
3031.00,0.353352,96883.6
3032.00,0.403264,111010.
3033.00,0.481518,132931.
3034.00,0.500799,138646.
3035.00,0.484892,134643.
3036.00,0.401310,111695.
3037.00,0.265871,74220.3
3038.00,0.237264,66591.8
3039.00,0.307635,86626.6
3040.00,0.325939,91982.6
3041.00,0.278270,78756.4
3042.00,0.254221,72247.0
3043.00,0.306404,87426.3
3044.00,0.382516,109455.
3045.00,0.406693,116672.
3046.00,0.349320,100449.
3047.00,0.243894,70341.8
3048.00,0.218918,63470.5
3049.00,0.294414,85667.3
3050.00,0.359652,104935.
3051.00,0.421315,123344.
3052.00,0.478052,140329.
3053.00,0.426679,125542.
3054.00,0.346144,102218.
3055.00,0.343791,101913.
3056.00,0.322656,95870.4
3057.00,0.221185,65863.9
3058.00,0.138592,41435.3
3059.00,0.144090,43323.9
3060.00,0.231183,69769.1
3061.00,0.340016,102868.
3062.00,0.400979,121615.
3063.00,0.396139,120477.
3064.00,0.365353,111482.
3065.00,0.350253,107221.
3066.00,0.297910,91429.5
3067.00,0.241113,74299.4
3068.00,0.296082,91671.3
3069.00,0.406443,126185.
3070.00,0.452180,140734.
3071.00,0.430043,134229.
3072.00,0.386488,121030.
3073.00,0.375830,118128.
3074.00,0.378763,119401.
3075.00,0.334293,105691.
3076.00,0.320815,101850.
3077.00,0.367244,116983.
3078.00,0.389449,124415.
3079.00,0.397461,127396.
3080.00,0.407106,130901.
3081.00,0.401495,129503.
3082.00,0.387372,125348.
3083.00,0.377900,122716.
3084.00,0.433981,141493.
3085.00,0.541256,176994.
3086.00,0.557833,182841.
3087.00,0.463491,152339.
3088.00,0.382539,126196.
3089.00,0.360253,119272.
3090.00,0.344771,114505.
3091.00,0.315795,105208.
3092.00,0.283970,94924.8
3093.00,0.284682,95537.7
3094.00,0.336055,113184.
3095.00,0.383404,129488.
3096.00,0.371303,125744.
3097.00,0.340203,115605.
3098.00,0.319829,109012.
3099.00,0.246803,84306.5
3100.00,0.153295,52531.8
3101.00,0.136552,47068.6
3102.00,0.222689,77101.4
3103.00,0.369008,128086.
3104.00,0.467854,162754.
3105.00,0.466807,162827.
