wave,norm,flux
3000.00,0.933922,702033.
3001.00,0.894138,672595.
3002.00,0.869453,654646.
3003.00,0.867547,653908.
3004.00,0.905991,683610.
3005.00,0.943596,712689.
3006.00,0.941158,711539.
3007.00,0.912990,690946.
3008.00,0.901924,683294.
3009.00,0.917072,695494.
3010.00,0.937747,711892.
3011.00,0.943819,717214.
3012.00,0.938886,714193.
3013.00,0.944662,719323.
3014.00,0.945599,720751.
3015.00,0.935072,713444.
3016.00,0.921420,703735.
3017.00,0.902736,690158.
3018.00,0.888426,679906.
3019.00,0.868753,665502.
3020.00,0.828925,635625.
3021.00,0.826316,634325.
3022.00,0.893625,686708.
3023.00,0.940375,723299.
3024.00,0.930308,716235.
3025.00,0.902618,695611.
3026.00,0.897238,692189.
3027.00,0.931703,719510.
3028.00,0.958780,741124.
3029.00,0.945842,731818.
3030.00,0.919225,711932.
3031.00,0.910038,705533.
3032.00,0.925290,718085.
3033.00,0.952836,740188.
3034.00,0.969199,753626.
3035.00,0.972830,757183.
3036.00,0.956831,745437.
3037.00,0.921814,718856.
3038.00,0.912724,712501.
3039.00,0.934323,730078.
3040.00,0.935419,731616.
3041.00,0.912950,714731.
3042.00,0.902541,707292.
3043.00,0.919876,721591.
3044.00,0.936370,735230.
3045.00,0.941893,740280.
3046.00,0.940983,740271.
3047.00,0.929293,731778.
3048.00,0.932226,734816.
3049.00,0.949880,749449.
3050.00,0.950831,750903.
3051.00,0.948798,750027.
3052.00,0.957492,757623.
3053.00,0.951636,753691.
3054.00,0.936233,742204.
3055.00,0.934561,741593.
3056.00,0.924363,734174.
3057.00,0.884751,703369.
3058.00,0.864201,687721.
3059.00,0.884893,704879.
3060.00,0.922062,735184.
3061.00,0.951715,759526.
3062.00,0.957767,765056.
3063.00,0.942355,753437.
3064.00,0.915855,732938.
3065.00,0.889382,712417.
3066.00,0.855539,685949.
3067.00,0.844958,678137.
3068.00,0.879970,706923.
3069.00,0.923164,742303.
3070.00,0.939186,755860.
3071.00,0.924060,744358.
3072.00,0.901131,726571.
3073.00,0.905154,730518.
3074.00,0.919406,742696.
3075.00,0.910857,736464.
3076.00,0.916870,742036.
3077.00,0.935027,757417.
3078.00,0.928857,753096.
3079.00,0.924687,750418.
3080.00,0.930875,756132.
3081.00,0.926671,753399.
3082.00,0.920893,749392.
3083.00,0.925097,753511.
3084.00,0.938925,765478.
3085.00,0.953843,778343.
3086.00,0.952884,778251.
3087.00,0.931783,761697.
3088.00,0.909572,744226.
3089.00,0.898435,735785.
3090.00,0.887850,727770.
3091.00,0.868058,712178.
