wave,norm,flux
3000.00,0.908417,702945.
3001.00,0.846755,655645.
3002.00,0.811960,629253.
3003.00,0.806872,625925.
3004.00,0.852714,662134.
3005.00,0.889441,691256.
3006.00,0.874921,680574.
3007.00,0.846273,658910.
3008.00,0.845374,658856.
3009.00,0.877418,684473.
3010.00,0.901961,704250.
3011.00,0.900274,703559.
3012.00,0.879769,688164.
3013.00,0.877319,686902.
3014.00,0.894539,701023.
3015.00,0.892407,699970.
3016.00,0.878636,689796.
3017.00,0.861948,677303.
3018.00,0.837755,658886.
3019.00,0.807046,635297.
3020.00,0.759164,598135.
3021.00,0.744080,586836.
3022.00,0.802565,633558.
3023.00,0.854832,675364.
3024.00,0.860647,680496.
3025.00,0.843532,667496.
3026.00,0.838466,664035.
3027.00,0.863344,684291.
3028.00,0.887974,704355.
3029.00,0.889837,706369.
3030.00,0.877014,696734.
3031.00,0.874520,695305.
3032.00,0.890002,708174.
3033.00,0.910944,725395.
3034.00,0.925814,737804.
3035.00,0.938291,748316.
3036.00,0.922772,736476.
3037.00,0.881815,704327.
3038.00,0.877576,701512.
3039.00,0.904295,723415.
3040.00,0.897322,718350.
3041.00,0.869422,696545.
3042.00,0.870501,697962.
3043.00,0.900422,722499.
3044.00,0.919638,738453.
3045.00,0.924344,742780.
3046.00,0.920887,740537.
3047.00,0.896995,721847.
3048.00,0.886022,713566.
3049.00,0.901799,726807.
3050.00,0.902361,727777.
3051.00,0.899460,725976.
3052.00,0.905807,731623.
3053.00,0.880881,711979.
3054.00,0.838751,678423.
3055.00,0.827055,669463.
3056.00,0.825740,668868.
3057.00,0.806949,654105.
3058.00,0.801175,649905.
3059.00,0.824733,669503.
3060.00,0.863823,701734.
3061.00,0.897933,729943.
3062.00,0.908191,738784.
3063.00,0.894808,728390.
3064.00,0.869151,707994.
3065.00,0.846404,689938.
3066.00,0.810834,661394.
3067.00,0.798797,652055.
3068.00,0.835598,682582.
3069.00,0.882641,721493.
3070.00,0.906750,741681.
3071.00,0.893051,730948.
3072.00,0.868779,711570.
3073.00,0.876086,718056.
3074.00,0.889333,729387.
3075.00,0.876626,719436.
3076.00,0.876850,720113.
3077.00,0.883752,726252.
3078.00,0.874734,719310.
3079.00,0.877446,722025.
3080.00,0.883823,727738.
3081.00,0.877373,722892.
3082.00,0.876032,722262.
3083.00,0.883687,729044.
3084.00,0.893206,737369.
3085.00,0.889449,734718.
3086.00,0.832101,687747.
3087.00,0.742595,614159.
3088.00,0.707352,585422.
3089.00,0.723030,598785.
3090.00,0.737895,611470.
3091.00,0.729745,605075.
3092.00,0.702369,582735.
3093.00,0.698298,579744.
3094.00,0.741597,616086.
3095.00,0.779922,648297.
3096.00,0.767624,638438.
3097.00,0.744623,619697.
3098.00,0.750503,624977.
3099.00,0.747318,622683.
3100.00,0.725365,604756.
3101.00,0.733281,611741.
3102.00,0.763129,637024.
3103.00,0.801496,669446.
3104.00,0.819844,685152.
3105.00,0.811529,678598.
3106.00,0.811443,678930.
3107.00,0.836068,699954.
3108.00,0.872922,731221.
3109.00,0.871552,730469.
3110.00,0.847842,711003.
3111.00,0.833231,699155.
3112.00,0.838578,704053.
3113.00,0.850538,714486.
3114.00,0.835149,701948.
3115.00,0.843187,709117.
3116.00,0.844714,710769.
3117.00,0.797126,671087.
3118.00,0.753849,635004.
3119.00,0.688373,580150.
3120.00,0.639471,539262.
3121.00,0.665426,561484.
3122.00,0.717614,605848.
3123.00,0.769394,649904.
3124.00,0.782494,661292.
3125.00,0.757544,640546.
3126.00,0.757894,641197.
3127.00,0.758311,641874.
3128.00,0.748022,633505.
3129.00,0.761873,645578.
3130.00,0.757829,642470.
3131.00,0.754227,639758.
3132.00,0.760695,645568.
3133.00,0.748192,635279.
3134.00,0.756670,642822.
3135.00,0.785343,667513.
3136.00,0.785400,667885.
3137.00,0.797532,678560.
3138.00,0.827802,704658.
3139.00,0.839743,715173.
3140.00,0.859823,732637.
3141.00,0.865519,737834.
3142.00,0.805510,686960.
3143.00,0.609826,520259.
3144.00,0.410150,350105.
3145.00,0.429936,367276.
3146.00,0.573345,490004.
3147.00,0.664932,568501.
3148.00,0.706974,604722.
3149.00,0.759126,649639.
3150.00,0.813378,696381.
3151.00,0.840047,719524.
3152.00,0.822204,704551.
3153.00,0.808878,693464.
3154.00,0.813344,697595.
3155.00,0.736445,631873.
3156.00,0.556955,478043.
3157.00,0.379501,325880.
3158.00,0.323169,277683.
3159.00,0.380787,327363.
3160.00,0.458425,394267.
3161.00,0.508693,437677.
3162.00,0.554614,477396.
3163.00,0.593709,511255.
3164.00,0.606653,522620.
3165.00,0.627453,540772.
3166.00,0.637921,550016.
3167.00,0.638473,550727.
3168.00,0.647880,559069.
3169.00,0.638067,550826.
3170.00,0.652191,563271.
3171.00,0.710275,613694.
3172.00,0.757953,655141.
3173.00,0.774086,669342.
3174.00,0.768250,664560.
3175.00,0.771019,667229.
3176.00,0.781668,676713.
3177.00,0.798225,691324.
3178.00,0.808269,700280.
3179.00,0.750643,650578.
3180.00,0.657675,570220.
3181.00,0.579919,503002.
3182.00,0.544291,472304.
3183.00,0.580079,503567.
3184.00,0.614526,533654.
3185.00,0.617956,536835.
3186.00,0.646421,561779.
3187.00,0.663421,576754.
3188.00,0.671318,583839.
3189.00,0.701679,610467.
3190.00,0.704410,613046.
3191.00,0.667092,580770.
3192.00,0.641685,558864.
3193.00,0.665579,579893.
3194.00,0.687544,599230.
3195.00,0.699769,610103.
3196.00,0.720539,628421.
3197.00,0.700923,611518.
3198.00,0.725023,632788.
3199.00,0.774480,676164.
3200.00,0.750317,655274.
3201.00,0.736106,643093.
3202.00,0.751002,656325.
3203.00,0.747280,653280.
3204.00,0.724115,633231.
3205.00,0.713538,624199.
3206.00,0.743628,650735.
3207.00,0.733122,641725.
3208.00,0.704813,617157.
3209.00,0.750187,657110.
3210.00,0.773684,677880.
3211.00,0.741428,649817.
3212.00,0.724027,634771.
3213.00,0.715961,627892.
3214.00,0.722593,633911.
3215.00,0.754266,661896.
3216.00,0.758841,666096.
3217.00,0.727865,639092.
3218.00,0.708480,622262.
3219.00,0.718210,631002.
3220.00,0.757687,665886.
3221.00,0.794162,698132.
3222.00,0.785320,690548.
3223.00,0.780488,686504.
3224.00,0.797278,701469.
3225.00,0.801086,705014.
3226.00,0.799443,703759.
3227.00,0.778320,685348.
3228.00,0.759146,668653.
3229.00,0.769303,677793.
3230.00,0.793868,699621.
3231.00,0.805419,709987.
3232.00,0.803118,708141.
3233.00,0.790061,696810.
3234.00,0.775565,684205.
3235.00,0.771423,680728.
3236.00,0.769523,679230.
3237.00,0.812661,717501.
3238.00,0.854316,754453.
3239.00,0.827900,731300.
3240.00,0.823706,727789.
3241.00,0.861690,761539.
3242.00,0.883541,781035.
3243.00,0.883777,781429.
3244.00,0.866228,766093.
3245.00,0.865884,765979.
3246.00,0.891150,788516.
3247.00,0.884157,782502.
3248.00,0.845162,748163.
3249.00,0.832246,736912.
3250.00,0.856428,758498.
3251.00,0.879207,778842.
3252.00,0.884560,783753.
3253.00,0.876951,777181.
3254.00,0.880981,780930.
3255.00,0.907750,804834.
3256.00,0.925801,821009.
3257.00,0.925373,820801.
3258.00,0.927435,822806.
3259.00,0.933618,828462.
3260.00,0.938671,833119.
3261.00,0.939821,834314.
3262.00,0.944448,838603.
3263.00,0.940426,835220.
3264.00,0.908760,807289.
3265.00,0.896690,796775.
3266.00,0.926511,823479.
3267.00,0.952216,846526.
3268.00,0.961629,855099.
3269.00,0.961213,854929.
3270.00,0.930628,827916.
3271.00,0.880405,783422.
3272.00,0.866749,771463.
3273.00,0.897977,799450.
3274.00,0.928591,826893.
3275.00,0.934309,832170.
3276.00,0.909588,810330.
3277.00,0.881337,785345.
3278.00,0.881431,785613.
3279.00,0.888986,792521.
3280.00,0.870227,775964.
3281.00,0.827130,737696.
3282.00,0.811662,724071.
3283.00,0.834523,744632.
3284.00,0.860659,768118.
3285.00,0.879654,785236.
3286.00,0.884639,789853.
3287.00,0.872597,779267.
3288.00,0.871773,778701.
3289.00,0.892475,797363.
3290.00,0.905238,808929.
3291.00,0.898137,802747.
3292.00,0.893777,799017.
3293.00,0.907533,811483.
3294.00,0.912170,815790.
3295.00,0.900155,805206.
3296.00,0.895448,801159.
3297.00,0.890948,797294.
3298.00,0.898099,803851.
3299.00,0.894650,800919.
3300.00,0.895865,802167.
3301.00,0.901494,807359.
3302.00,0.873176,782146.
3303.00,0.868413,778035.
3304.00,0.877519,786339.
3305.00,0.858795,769704.
3306.00,0.845618,758039.
3307.00,0.813003,728931.
3308.00,0.773899,694007.
3309.00,0.788260,707024.
3310.00,0.801326,718871.
3311.00,0.804538,721886.
3312.00,0.830113,744969.
3313.00,0.820551,736511.
3314.00,0.790258,709449.
3315.00,0.795407,714202.
3316.00,0.794883,713854.
3317.00,0.786122,706113.
3318.00,0.807814,725730.
3319.00,0.826010,742199.
3320.00,0.808668,726739.
3321.00,0.806050,724514.
3322.00,0.796014,715609.
3323.00,0.765446,688248.
3324.00,0.790743,711122.
3325.00,0.825212,742239.
3326.00,0.809799,728490.
3327.00,0.788692,709625.
3328.00,0.805886,725218.
3329.00,0.812945,731684.
3330.00,0.797878,718242.
3331.00,0.819617,737936.
3332.00,0.833490,750539.
3333.00,0.803247,723421.
3334.00,0.796490,717455.
3335.00,0.803218,723625.
3336.00,0.760464,685209.
3337.00,0.722039,650695.
3338.00,0.737316,664570.
3339.00,0.751754,677686.
3340.00,0.752374,678350.
3341.00,0.765076,689908.
3342.00,0.769462,693965.
3343.00,0.769490,694099.
3344.00,0.781333,704888.
3345.00,0.786719,709852.
3346.00,0.775883,700177.
3347.00,0.764077,689626.
3348.00,0.741531,669373.
3349.00,0.717169,647480.
3350.00,0.749868,677110.
3351.00,0.803912,726015.
3352.00,0.835645,754779.
3353.00,0.845557,763837.
3354.00,0.843091,761720.
3355.00,0.850621,768634.
3356.00,0.816746,738116.
3357.00,0.689524,623215.
3358.00,0.498267,450403.
3359.00,0.326918,295556.
3360.00,0.259563,234710.
3361.00,0.322397,291587.
3362.00,0.475271,429909.
3363.00,0.610527,552315.
3364.00,0.666475,603001.
3365.00,0.683051,618082.
3366.00,0.695301,629252.
3367.00,0.676374,612200.
3368.00,0.602176,545109.
3369.00,0.510916,462560.
3370.00,0.455223,412199.
3371.00,0.443334,401493.
3372.00,0.482688,437200.
3373.00,0.556679,504285.
3374.00,0.613732,556040.
3375.00,0.648065,587222.
3376.00,0.684786,620578.
3377.00,0.723384,655643.
3378.00,0.742253,672829.
3379.00,0.723786,656173.
3380.00,0.699755,634473.
3381.00,0.710376,644191.
3382.00,0.736235,667726.
3383.00,0.729884,662049.
3384.00,0.700086,635104.
3385.00,0.677242,614463.
3386.00,0.658229,597289.
3387.00,0.651865,591594.
3388.00,0.659140,598275.
3389.00,0.685834,622587.
3390.00,0.713491,647775.
3391.00,0.706086,641132.
3392.00,0.690388,626963.
3393.00,0.707691,642769.
3394.00,0.733019,665864.
3395.00,0.737248,669800.
3396.00,0.760934,691423.
3397.00,0.806083,732543.
3398.00,0.819412,744748.
3399.00,0.812178,738268.
3400.00,0.831826,756229.
3401.00,0.835169,759359.
3402.00,0.791857,720068.
3403.00,0.779474,708909.
3404.00,0.816535,742712.
3405.00,0.817023,743241.
3406.00,0.786050,715158.
3407.00,0.795322,723694.
3408.00,0.814402,741148.
3409.00,0.780184,710095.
3410.00,0.769200,700198.
3411.00,0.828453,754236.
3412.00,0.835654,760876.
3413.00,0.771087,702175.
3414.00,0.770717,701942.
3415.00,0.834678,760294.
3416.00,0.841581,766669.
3417.00,0.810422,738386.
3418.00,0.844669,769700.
3419.00,0.879821,801829.
3420.00,0.841465,766965.
3421.00,0.819149,746732.
3422.00,0.841806,767487.
3423.00,0.825932,753105.
3424.00,0.799505,729109.
3425.00,0.825086,752543.
3426.00,0.845410,771177.
3427.00,0.835156,761925.
3428.00,0.847443,773242.
3429.00,0.871660,795443.
3430.00,0.875579,799122.
3431.00,0.870999,795048.
3432.00,0.855642,781132.
3433.00,0.831806,759476.
3434.00,0.850061,776257.
3435.00,0.888153,811151.
3436.00,0.881628,805294.
3437.00,0.863734,789062.
3438.00,0.876100,800471.
3439.00,0.872976,797722.
3440.00,0.834808,762949.
3441.00,0.823144,752401.
3442.00,0.843700,771296.
3443.00,0.838528,766671.
3444.00,0.833204,761915.
3445.00,0.856596,783418.
3446.00,0.868869,794751.
3447.00,0.882556,807388.
3448.00,0.914985,837173.
3449.00,0.918664,840656.
3450.00,0.898903,822692.
3451.00,0.893219,817612.
3452.00,0.885842,810975.
3453.00,0.871188,797681.
3454.00,0.881253,807028.
3455.00,0.913723,836893.
3456.00,0.932097,853848.
3457.00,0.923742,846318.
3458.00,0.901834,826371.
3459.00,0.890484,816097.
3460.00,0.887847,813800.
3461.00,0.880171,806886.
3462.00,0.885877,812243.
3463.00,0.906226,831029.
3464.00,0.925909,849209.
3465.00,0.926408,849794.
3466.00,0.913775,838336.
3467.00,0.911718,836581.
3468.00,0.925024,848926.
3469.00,0.946350,868635.
3470.00,0.955335,877020.
3471.00,0.943496,866292.
3472.00,0.924993,849441.
3473.00,0.916117,841425.
3474.00,0.903413,829890.
3475.00,0.881244,809656.
3476.00,0.862304,792388.
3477.00,0.873267,802602.
3478.00,0.920202,845884.
3479.00,0.957118,879961.
3480.00,0.966329,888576.
3481.00,0.963126,885778.
3482.00,0.947892,871912.
3483.00,0.928184,853931.
3484.00,0.931749,857365.
3485.00,0.947555,872060.
3486.00,0.958143,881957.
3487.00,0.962410,886039.
3488.00,0.948837,873694.
3489.00,0.922039,849169.
3490.00,0.897112,826362.
3491.00,0.899138,828384.
3492.00,0.921353,849004.
3493.00,0.933365,860228.
3494.00,0.942931,869201.
3495.00,0.934229,861333.
3496.00,0.910980,840056.
3497.00,0.903899,833688.
3498.00,0.922272,850796.
3499.00,0.946680,873474.
3500.00,0.945530,872573.
3501.00,0.935585,863560.
3502.00,0.938774,866674.
3503.00,0.950353,877534.
3504.00,0.952885,880041.
3505.00,0.944258,872248.
3506.00,0.944956,873069.
3507.00,0.955722,883191.
3508.00,0.963525,890574.
3509.00,0.950929,879103.
3510.00,0.922500,852996.
3511.00,0.919533,850434.
3512.00,0.932653,862745.
3513.00,0.920974,852112.
3514.00,0.906961,839325.
3515.00,0.922472,853864.
3516.00,0.951506,880926.
3517.00,0.964849,893465.
3518.00,0.961311,890377.
3519.00,0.947213,877504.
3520.00,0.929177,860984.
3521.00,0.924554,856890.
3522.00,0.935739,867450.
3523.00,0.935777,867669.
3524.00,0.912863,846608.
3525.00,0.888627,824314.
3526.00,0.871295,808421.
3527.00,0.889357,825377.
3528.00,0.929790,863095.
3529.00,0.949104,881219.
3530.00,0.954510,886444.
3531.00,0.960892,892579.
3532.00,0.959453,891451.
3533.00,0.953740,886353.
3534.00,0.956805,889413.
3535.00,0.954853,887806.
3536.00,0.950337,883820.
3537.00,0.958156,891310.
3538.00,0.970317,902842.
3539.00,0.974045,906529.
3540.00,0.957072,890957.
3541.00,0.929749,865775.
3542.00,0.920180,857160.
3543.00,0.928920,865624.
3544.00,0.933401,870126.
3545.00,0.927768,865206.
3546.00,0.923884,861915.
3547.00,0.916840,855668.
3548.00,0.906302,846160.
3549.00,0.911366,851226.
3550.00,0.921910,861404.
3551.00,0.920263,860192.
3552.00,0.906175,847349.
3553.00,0.879075,822324.
3554.00,0.843280,789150.
3555.00,0.808509,756907.
3556.00,0.771608,722644.
3557.00,0.736337,689886.
3558.00,0.715295,670442.
3559.00,0.710624,666335.
3560.00,0.715606,671271.
3561.00,0.711008,667221.
3562.00,0.704916,661772.
3563.00,0.713567,670166.
3564.00,0.718187,674768.
3565.00,0.705990,663572.
3566.00,0.696187,654627.
3567.00,0.703557,661829.
3568.00,0.716248,674037.
3569.00,0.714270,672441.
3570.00,0.711631,670237.
3571.00,0.729541,687391.
3572.00,0.746813,703953.
3573.00,0.766556,722862.
3574.00,0.783416,739058.
3575.00,0.780634,736727.
3576.00,0.764900,722171.
3577.00,0.744291,703002.
3578.00,0.716721,677240.
3579.00,0.683421,646040.
3580.00,0.643139,608212.
3581.00,0.615383,582221.
3582.00,0.628606,594996.
3583.00,0.640156,606168.
3584.00,0.618568,585967.
3585.00,0.612748,580719.
3586.00,0.638142,605044.
3587.00,0.647807,614453.
3588.00,0.628020,595924.
3589.00,0.587095,557327.
3590.00,0.607816,577300.
3591.00,0.741705,704790.
3592.00,0.853243,811075.
3593.00,0.877846,834790.
3594.00,0.870837,828477.
3595.00,0.868488,826605.
3596.00,0.888348,845886.
3597.00,0.920358,876744.
3598.00,0.944274,899915.
3599.00,0.962135,917334.
3600.00,0.966427,921822.
3601.00,0.954907,911227.
3602.00,0.937944,895435.
3603.00,0.931502,889686.
3604.00,0.928660,887358.
3605.00,0.913592,873345.
3606.00,0.911923,872150.
3607.00,0.927342,887289.
3608.00,0.922657,883188.
3609.00,0.899838,861728.
3610.00,0.893737,856282.
3611.00,0.909665,871940.
3612.00,0.920721,882926.
3613.00,0.916456,879232.
3614.00,0.925821,888632.
3615.00,0.950855,913075.
3616.00,0.963991,926098.
3617.00,0.950704,913733.
3618.00,0.914513,879348.
3619.00,0.895189,861181.
3620.00,0.918532,884057.
3621.00,0.940293,905405.
3622.00,0.945244,910588.
3623.00,0.948714,914350.
3624.00,0.946256,912400.
3625.00,0.945079,911691.
3626.00,0.935163,902530.
3627.00,0.885920,855385.
3628.00,0.842512,813874.
3629.00,0.847397,818993.
3630.00,0.850465,822332.
3631.00,0.830897,803790.
3632.00,0.848038,820785.
3633.00,0.885376,857315.
3634.00,0.876675,849262.
3635.00,0.847404,821303.
3636.00,0.851179,825371.
3637.00,0.870054,844070.
3638.00,0.852151,827073.
3639.00,0.820683,796929.
3640.00,0.848402,824269.
3641.00,0.877318,852746.
3642.00,0.847597,824236.
3643.00,0.825803,803448.
3644.00,0.829074,807022.
3645.00,0.828665,807022.
3646.00,0.837557,816128.
3647.00,0.837138,816256.
3648.00,0.848530,827962.
3649.00,0.879909,859090.
3650.00,0.881753,861300.
3651.00,0.833045,814105.
3652.00,0.809134,791164.
3653.00,0.852042,833547.
3654.00,0.893156,874189.
3655.00,0.926956,907719.
3656.00,0.944610,925444.
3657.00,0.918337,900129.
3658.00,0.884512,867420.
3659.00,0.869953,853570.
3660.00,0.842204,826751.
3661.00,0.832097,817266.
3662.00,0.872659,857556.
3663.00,0.910052,894730.
3664.00,0.894843,880200.
3665.00,0.878876,864960.
3666.00,0.914274,900276.
3667.00,0.941893,927922.
3668.00,0.917040,903874.
3669.00,0.869027,857000.
3670.00,0.857206,845812.
3671.00,0.875099,863918.
3672.00,0.867142,856492.
3673.00,0.842027,832140.
3674.00,0.870618,860896.
3675.00,0.927522,917650.
3676.00,0.941913,932365.
3677.00,0.908450,899728.
3678.00,0.882828,874880.
3679.00,0.897362,889828.
3680.00,0.909893,902799.
3681.00,0.884063,877709.
3682.00,0.814307,809015.
3683.00,0.794619,790142.
3684.00,0.848202,844149.
3685.00,0.883741,880292.
3686.00,0.888364,885771.
3687.00,0.870972,869393.
3688.00,0.871576,871140.
3689.00,0.910433,911241.
3690.00,0.937580,939763.
3691.00,0.931551,935166.
3692.00,0.883288,888169.
3693.00,0.810495,816531.
3694.00,0.807531,815414.
3695.00,0.877393,887877.
3696.00,0.915839,928701.
3697.00,0.902211,916953.
3698.00,0.883585,900282.
3699.00,0.899536,918979.
3700.00,0.932062,954675.
3701.00,0.940328,965656.
3702.00,0.922770,950156.
3703.00,0.873133,901472.
3704.00,0.806467,835010.
3705.00,0.747269,776009.
3706.00,0.728706,759195.
3707.00,0.780075,815294.
3708.00,0.838319,878662.
3709.00,0.849101,892434.
3710.00,0.813493,857486.
3711.00,0.782872,827811.
3712.00,0.802382,851197.
3713.00,0.866276,921799.
3714.00,0.921823,983696.
3715.00,0.937900,1.00370e+06
3716.00,0.932424,1.00075e+06
3717.00,0.921688,992100.
3718.00,0.893870,964850.
3719.00,0.831587,900083.
3720.00,0.755622,820192.
3721.00,0.697647,759465.
3722.00,0.675446,737518.
3723.00,0.711728,779454.
3724.00,0.788229,865649.
3725.00,0.872963,961182.
3726.00,0.912697,1.00737e+06
3727.00,0.905335,1.00179e+06
3728.00,0.906549,1.00580e+06
3729.00,0.925005,1.02887e+06
3730.00,0.929368,1.03624e+06
3731.00,0.915017,1.02268e+06
3732.00,0.871982,976824.
3733.00,0.788250,885014.
3734.00,0.704136,792524.
3735.00,0.697164,786746.
3736.00,0.734692,830942.
3737.00,0.738366,836884.
3738.00,0.752344,854720.
3739.00,0.812725,925398.
3740.00,0.875593,999008.
3741.00,0.899197,1.02798e+06
3742.00,0.900138,1.03115e+06
3743.00,0.896777,1.02938e+06
3744.00,0.891848,1.02574e+06
3745.00,0.870482,1.00309e+06
3746.00,0.853483,985456.
3747.00,0.855541,989693.
3748.00,0.819603,949750.
3749.00,0.740556,859682.
3750.00,0.701327,815818.
3751.00,0.763409,889796.
3752.00,0.844839,986315.
3753.00,0.866563,1.01328e+06
3754.00,0.855202,1.00169e+06
3755.00,0.866372,1.01658e+06
3756.00,0.897418,1.05478e+06
3757.00,0.900261,1.05980e+06
3758.00,0.878419,1.03576e+06
3759.00,0.874187,1.03245e+06
3760.00,0.889023,1.05161e+06
3761.00,0.901878,1.06843e+06
3762.00,0.916386,1.08725e+06
3763.00,0.919227,1.09219e+06
3764.00,0.911450,1.08454e+06
3765.00,0.917115,1.09287e+06
3766.00,0.916643,1.09382e+06
3767.00,0.902122,1.07799e+06
3768.00,0.884276,1.05810e+06
3769.00,0.832891,997870.
3770.00,0.744641,893328.
3771.00,0.717489,862076.
3772.00,0.778673,936894.
