wave,norm,flux
3000.00,0.914592,711990.
3001.00,0.858608,668843.
3002.00,0.825720,643798.
3003.00,0.820361,640263.
3004.00,0.864575,675445.
3005.00,0.903286,706324.
3006.00,0.892618,698614.
3007.00,0.862493,675682.
3008.00,0.857786,672667.
3009.00,0.885813,695318.
3010.00,0.911007,715756.
3011.00,0.911906,717118.
3012.00,0.894370,703992.
3013.00,0.893055,703641.
3014.00,0.904963,713690.
3015.00,0.900564,710874.
3016.00,0.887294,701052.
3017.00,0.869356,687515.
3018.00,0.847201,670617.
3019.00,0.819405,649207.
3020.00,0.773737,613586.
3021.00,0.764306,606734.
3022.00,0.830822,660176.
3023.00,0.884723,703597.
3024.00,0.884134,703720.
3025.00,0.860982,685884.
3026.00,0.855212,681906.
3027.00,0.884900,706202.
3028.00,0.911353,727917.
3029.00,0.906946,724996.
3030.00,0.887499,710057.
3031.00,0.882104,706360.
3032.00,0.898317,719971.
3033.00,0.922398,739893.
3034.00,0.938304,753282.
3035.00,0.948535,762131.
3036.00,0.932682,749997.
3037.00,0.892381,718194.
3038.00,0.885842,713566.
3039.00,0.911002,734442.
3040.00,0.906296,731228.
3041.00,0.879389,710110.
3042.00,0.876400,708312.
3043.00,0.902518,730034.
3044.00,0.921031,745608.
3045.00,0.926342,750522.
3046.00,0.924162,749360.
3047.00,0.904199,733766.
3048.00,0.898348,729638.
3049.00,0.916217,744760.
3050.00,0.918270,747020.
3051.00,0.916325,746050.
3052.00,0.923133,752196.
3053.00,0.903886,737084.
3054.00,0.871247,711048.
3055.00,0.863764,705525.
3056.00,0.858847,702055.
3057.00,0.831213,680002.
3058.00,0.819375,670877.
3059.00,0.842377,690278.
3060.00,0.881877,723221.
3061.00,0.915085,751031.
3062.00,0.923283,758339.
3063.00,0.907261,745748.
3064.00,0.879351,723376.
3065.00,0.854743,703680.
3066.00,0.818943,674728.
3067.00,0.805811,664459.
3068.00,0.842272,695087.
3069.00,0.890271,735258.
3070.00,0.912920,754519.
3071.00,0.898788,743390.
3072.00,0.874913,724208.
3073.00,0.881898,730572.
3074.00,0.896542,743254.
3075.00,0.885221,734418.
3076.00,0.887789,737131.
3077.00,0.899029,747019.
3078.00,0.890274,740294.
3079.00,0.890321,740904.
3080.00,0.897057,747062.
3081.00,0.891358,742867.
3082.00,0.888156,740758.
3083.00,0.894895,746940.
3084.00,0.906455,757153.
3085.00,0.906016,757323.
3086.00,0.856039,716036.
3087.00,0.775260,648947.
3088.00,0.740522,620368.
3089.00,0.752165,630596.
3090.00,0.763615,640655.
3091.00,0.754068,633088.
3092.00,0.725461,609508.
3093.00,0.719217,604734.
3094.00,0.762278,641424.
3095.00,0.800059,673671.
3096.00,0.787831,663822.
3097.00,0.765317,645328.
3098.00,0.770344,650042.
3099.00,0.764255,645341.
3100.00,0.739624,624990.
3101.00,0.745826,630703.
3102.00,0.777227,657729.
3103.00,0.819015,693577.
3104.00,0.836694,709017.
3105.00,0.824599,699251.
3106.00,0.822844,698265.
3107.00,0.849481,721388.
3108.00,0.886835,753619.
3109.00,0.884937,752496.
3110.00,0.860623,732325.
3111.00,0.846698,720982.
3112.00,0.852641,726554.
3113.00,0.864640,737269.
3114.00,0.852348,727278.
3115.00,0.860166,734464.
3116.00,0.859152,734062.
3117.00,0.812430,694598.
3118.00,0.770083,658837.
3119.00,0.712240,609744.
3120.00,0.674223,577621.
3121.00,0.700051,600177.
3122.00,0.744341,638573.
3123.00,0.791198,679213.
3124.00,0.802453,689293.
3125.00,0.775417,666507.
3126.00,0.776240,667673.
3127.00,0.782015,673065.
3128.00,0.774866,667354.
3129.00,0.784970,676499.
3130.00,0.777962,670878.
3131.00,0.774195,668078.
3132.00,0.781252,674594.
3133.00,0.770567,665792.
3134.00,0.779207,673708.
3135.00,0.806909,698098.
3136.00,0.807756,699261.
3137.00,0.819796,710157.
3138.00,0.848957,735873.
3139.00,0.859952,745868.
3140.00,0.876877,761027.
3141.00,0.880163,764337.
3142.00,0.818508,711172.
3143.00,0.623539,542017.
3144.00,0.428688,372913.
3145.00,0.456112,397153.
3146.00,0.602843,525217.
3147.00,0.692815,603914.
3148.00,0.735907,641858.
3149.00,0.787449,687235.
3150.00,0.835749,729817.
3151.00,0.858106,749771.
3152.00,0.841522,735705.
3153.00,0.828156,724472.
3154.00,0.831219,727573.
3155.00,0.765072,670011.
3156.00,0.603944,529163.
3157.00,0.436085,382320.
3158.00,0.379636,333098.
3159.00,0.436129,382928.
3160.00,0.512037,449821.
3161.00,0.555830,488559.
3162.00,0.594894,523204.
3163.00,0.635674,559382.
3164.00,0.656665,578181.
3165.00,0.680628,599625.
3166.00,0.689815,608051.
3167.00,0.688727,607444.
3168.00,0.694683,613041.
3169.00,0.686460,606126.
3170.00,0.703284,621358.
3171.00,0.756746,668974.
3172.00,0.797600,705469.
3173.00,0.810481,717246.
3174.00,0.804061,711957.
3175.00,0.806093,714162.
3176.00,0.814668,722156.
3177.00,0.823861,730712.
3178.00,0.828187,734936.
3179.00,0.777659,690443.
3180.00,0.698536,620531.
3181.00,0.634172,563668.
3182.00,0.602587,535911.
3183.00,0.631062,561563.
3184.00,0.660734,588263.
3185.00,0.664114,591592.
3186.00,0.689893,614893.
3187.00,0.705033,628706.
3188.00,0.712435,635652.
3189.00,0.739398,660060.
3190.00,0.737599,658776.
3191.00,0.698866,624501.
3192.00,0.672571,601337.
3193.00,0.691403,618514.
3194.00,0.714226,639251.
3195.00,0.726861,650900.
3196.00,0.742262,665024.
3197.00,0.726792,651494.
3198.00,0.754513,676724.
3199.00,0.800490,718300.
3200.00,0.779933,700188.
3201.00,0.771323,692831.
3202.00,0.785166,705619.
3203.00,0.780169,701471.
3204.00,0.765406,688540.
3205.00,0.764970,688507.
3206.00,0.795973,716769.
3207.00,0.787889,709808.
3208.00,0.758103,683329.
3209.00,0.787503,710199.
3210.00,0.800033,721822.
3211.00,0.769058,694211.
3212.00,0.753980,680941.
3213.00,0.745603,673702.
3214.00,0.748848,676974.
3215.00,0.779280,704826.
3216.00,0.788657,713628.
3217.00,0.766503,693908.
3218.00,0.756851,685506.
3219.00,0.770355,698079.
3220.00,0.803532,728493.
3221.00,0.830459,753243.
3222.00,0.819350,743504.
3223.00,0.814956,739876.
3224.00,0.829736,753644.
3225.00,0.831999,756044.
3226.00,0.827098,751934.
3227.00,0.805387,732525.
3228.00,0.785207,714506.
3229.00,0.790887,720015.
3230.00,0.815725,742966.
3231.00,0.831421,757597.
3232.00,0.830623,757205.
3233.00,0.816270,744450.
3234.00,0.797818,727951.
3235.00,0.793284,724141.
3236.00,0.795732,726706.
3237.00,0.833765,761794.
3238.00,0.867665,793094.
3239.00,0.844572,772313.
3240.00,0.845322,773361.
3241.00,0.877365,803024.
3242.00,0.890219,815135.
3243.00,0.891834,816965.
3244.00,0.885679,811675.
3245.00,0.889259,815315.
3246.00,0.903817,829014.
3247.00,0.888743,815518.
3248.00,0.852851,782918.
3249.00,0.847989,778805.
3250.00,0.875112,804055.
3251.00,0.892435,820306.
3252.00,0.891138,819449.
3253.00,0.883481,812745.
3254.00,0.888931,818105.
3255.00,0.913191,840783.
3256.00,0.931377,857870.
3257.00,0.935326,861854.
3258.00,0.939175,865755.
3259.00,0.943574,870159.
3260.00,0.944431,871300.
3261.00,0.941757,869187.
3262.00,0.945652,873144.
