wave,norm,flux
3000.00,0.334128,176376.
3001.00,0.196224,103713.
3002.00,0.144793,76758.4
3003.00,0.180273,95899.8
3004.00,0.294655,157110.
3005.00,0.395144,210997.
3006.00,0.376042,201090.
3007.00,0.277673,148768.
3008.00,0.207270,111365.
3009.00,0.226730,122239.
3010.00,0.316923,171254.
3011.00,0.365026,197551.
3012.00,0.341099,184998.
3013.00,0.346401,188370.
3014.00,0.365817,199347.
3015.00,0.348919,190528.
3016.00,0.314123,171900.
3017.00,0.260076,142601.
3018.00,0.187170,102827.
3019.00,0.122150,67245.8
3020.00,0.0788498,43526.0
3021.00,0.0928256,51478.6
3022.00,0.191627,106520.
3023.00,0.300062,166994.
3024.00,0.313163,174521.
3025.00,0.255926,142915.
3026.00,0.254478,142589.
3027.00,0.361472,203046.
3028.00,0.451124,253813.
3029.00,0.445420,251048.
3030.00,0.390730,220693.
3031.00,0.358972,203287.
3032.00,0.406257,230687.
3033.00,0.477165,271488.
3034.00,0.496286,282937.
3035.00,0.495261,282950.
3036.00,0.428014,244924.
3037.00,0.293938,168538.
3038.00,0.261853,150680.
3039.00,0.334642,193007.
3040.00,0.354295,204653.
3041.00,0.302571,175118.
3042.00,0.274831,159507.
3043.00,0.325015,189146.
3044.00,0.399404,232899.
3045.00,0.427863,249947.
3046.00,0.379122,221839.
3047.00,0.274582,160989.
3048.00,0.246175,144830.
3049.00,0.320877,189244.
3050.00,0.383187,226414.
3051.00,0.441328,261371.
3052.00,0.495665,294089.
3053.00,0.440585,261829.
3054.00,0.360548,214802.
3055.00,0.362725,216657.
3056.00,0.343677,205604.
3057.00,0.240822,144291.
3058.00,0.157910,94872.4
3059.00,0.166626,100475.
3060.00,0.256170,154846.
3061.00,0.359081,217416.
3062.00,0.404129,245104.
3063.00,0.380910,231449.
3064.00,0.340618,207442.
3065.00,0.327519,199911.
3066.00,0.284192,173766.
3067.00,0.236446,144963.
3068.00,0.289600,178099.
3069.00,0.389791,240152.
3070.00,0.427512,263836.
3071.00,0.406178,251160.
3072.00,0.368683,228478.
3073.00,0.365352,226976.
3074.00,0.374164,232900.
3075.00,0.332833,207576.
3076.00,0.321244,200893.
3077.00,0.361035,226268.
3078.00,0.373518,234545.
3079.00,0.379251,238684.
3080.00,0.392870,247776.
3081.00,0.389113,245911.
3082.00,0.375125,237577.
3083.00,0.372049,236189.
3084.00,0.433580,275964.
3085.00,0.535052,341201.
3086.00,0.537303,343154.
3087.00,0.430087,275178.
3088.00,0.348891,223790.
3089.00,0.331985,213451.
3090.00,0.318306,205075.
3091.00,0.293066,189203.
3092.00,0.263576,170529.
3093.00,0.256607,166444.
3094.00,0.301777,196224.
3095.00,0.350244,228146.
3096.00,0.338354,220784.
3097.00,0.309319,202296.
3098.00,0.295219,193460.
3099.00,0.231770,152101.
3100.00,0.149944,98615.9
3101.00,0.139187,91877.5
3102.00,0.221958,146927.
3103.00,0.360275,238887.
3104.00,0.450807,299347.
3105.00,0.446623,297091.
3106.00,0.429241,286187.
3107.00,0.459946,307382.
3108.00,0.515341,345113.
3109.00,0.525307,352403.
3110.00,0.466629,313647.
3111.00,0.442343,298086.
3112.00,0.495391,334588.
3113.00,0.517188,349916.
3114.00,0.476037,322716.
3115.00,0.447638,304138.
3116.00,0.420815,286483.
3117.00,0.382452,260916.
3118.00,0.358818,245328.
3119.00,0.338572,231959.
3120.00,0.314368,215837.
3121.00,0.309524,212999.
3122.00,0.333869,230287.
3123.00,0.394181,272488.
3124.00,0.439802,304546.
3125.00,0.409415,284010.
3126.00,0.387435,269418.
3127.00,0.414307,288722.
3128.00,0.410092,286297.
3129.00,0.378298,264655.
3130.00,0.368230,258188.
3131.00,0.372507,261736.
3132.00,0.368252,259252.
3133.00,0.342717,241752.
3134.00,0.325744,230312.
3135.00,0.353317,250382.
3136.00,0.387728,275309.
3137.00,0.419240,298317.
3138.00,0.458682,327039.
3139.00,0.478061,341525.
3140.00,0.498057,356572.
3141.00,0.517106,370907.
3142.00,0.452820,325282.
3143.00,0.309441,222632.
3144.00,0.211904,152833.
3145.00,0.235656,170400.
3146.00,0.310281,224659.
3147.00,0.355285,257573.
3148.00,0.419640,304701.
3149.00,0.501386,364512.
3150.00,0.525128,382238.
3151.00,0.515410,375669.
3152.00,0.489516,357280.
3153.00,0.467242,341511.
3154.00,0.443948,324919.
3155.00,0.403006,295341.
3156.00,0.337976,247984.
3157.00,0.253049,185909.
3158.00,0.201898,148584.
3159.00,0.208026,153359.
3160.00,0.230533,170167.
3161.00,0.232395,171770.
3162.00,0.260336,192748.
3163.00,0.326132,241787.
3164.00,0.361212,268094.
3165.00,0.358317,266299.
3166.00,0.366194,272551.
3167.00,0.377949,281663.
3168.00,0.356277,265850.
3169.00,0.363544,271739.
3170.00,0.453596,339560.
3171.00,0.537169,402583.
3172.00,0.550036,412715.
3173.00,0.523519,393337.
3174.00,0.501262,377153.
3175.00,0.516912,389516.
3176.00,0.561705,423827.
3177.00,0.541973,409378.
3178.00,0.435011,328955.
3179.00,0.323916,245285.
3180.00,0.270916,205485.
3181.00,0.257888,195884.
3182.00,0.252153,191800.
3183.00,0.268406,204471.
3184.00,0.304790,232511.
3185.00,0.347934,265778.
3186.00,0.384761,294278.
3187.00,0.406153,311054.
3188.00,0.441521,338616.
3189.00,0.472463,362781.
3190.00,0.426365,327713.
3191.00,0.314536,242033.
3192.00,0.236160,182021.
3193.00,0.241733,186658.
3194.00,0.298214,230588.
3195.00,0.344203,266457.
3196.00,0.364185,282293.
3197.00,0.412539,320259.
3198.00,0.492918,383132.
3199.00,0.499660,388763.
3200.00,0.439299,342242.
3201.00,0.421376,328779.
3202.00,0.434811,339721.
3203.00,0.460033,359925.
3204.00,0.498924,390853.
3205.00,0.503393,394822.
3206.00,0.482382,378838.
3207.00,0.463769,364697.
3208.00,0.437461,344450.
3209.00,0.402446,317283.
3210.00,0.358554,283041.
3211.00,0.322945,255282.
3212.00,0.302068,239097.
3213.00,0.280776,222538.
3214.00,0.291821,231667.
3215.00,0.361722,287556.
3216.00,0.408458,325047.
3217.00,0.405909,323426.
3218.00,0.424458,338682.
3219.00,0.451587,360784.
3220.00,0.466347,373041.
3221.00,0.446141,357277.
3222.00,0.388465,311487.
3223.00,0.375142,301269.
3224.00,0.396321,318671.
3225.00,0.369662,297556.
3226.00,0.322782,260164.
3227.00,0.288514,232838.
3228.00,0.244691,197716.
3229.00,0.222853,180354.
3230.00,0.262174,212519.
3231.00,0.335802,272530.
3232.00,0.374203,304000.
3233.00,0.338225,275042.
3234.00,0.269071,219083.
3235.00,0.241686,197095.
3236.00,0.258001,210709.
3237.00,0.310526,253959.
3238.00,0.357566,292734.
3239.00,0.354498,290569.
3240.00,0.370396,304025.
3241.00,0.384210,315720.
3242.00,0.364650,300014.
3243.00,0.365495,301144.
3244.00,0.427233,352530.
3245.00,0.526758,435164.
3246.00,0.553624,457793.
3247.00,0.473735,392145.
3248.00,0.397551,329554.
3249.00,0.401246,333124.
3250.00,0.445728,370519.
3251.00,0.462531,384914.
3252.00,0.441613,367942.
3253.00,0.418289,348962.
3254.00,0.427867,357460.
3255.00,0.489807,409753.
3256.00,0.552873,463046.
3257.00,0.581902,487928.
3258.00,0.591106,496256.
3259.00,0.597236,502024.
3260.00,0.593601,499579.
3261.00,0.592844,499588.
3262.00,0.615270,519145.
3263.00,0.604145,510304.
3264.00,0.522353,441724.
3265.00,0.474368,401746.
3266.00,0.519820,440868.
3267.00,0.574045,487408.
3268.00,0.577183,490631.
3269.00,0.554999,472349.
3270.00,0.527264,449291.
3271.00,0.491064,418963.
3272.00,0.486683,415804.
3273.00,0.510563,436734.
3274.00,0.507074,434262.
3275.00,0.497936,426956.
3276.00,0.466251,400247.
3277.00,0.435386,374251.
3278.00,0.441193,379738.
3279.00,0.450185,387950.
3280.00,0.462722,399255.
3281.00,0.474118,409572.
3282.00,0.465778,402846.
3283.00,0.469348,406473.
3284.00,0.497991,431806.
3285.00,0.491884,426971.
3286.00,0.448590,389851.
3287.00,0.426571,371222.
3288.00,0.459003,399998.
3289.00,0.530291,462696.
3290.00,0.581418,507855.
3291.00,0.588331,514499.
3292.00,0.603319,528271.
3293.00,0.626688,549388.
3294.00,0.622414,546248.
3295.00,0.571652,502274.
3296.00,0.544364,478961.
3297.00,0.586627,516820.
3298.00,0.626965,552986.
3299.00,0.653786,577354.
3300.00,0.694058,613641.
3301.00,0.665163,588674.
3302.00,0.555844,492480.
3303.00,0.496221,440280.
3304.00,0.500434,444566.
3305.00,0.468152,416318.
3306.00,0.415890,370322.
3307.00,0.436108,388893.
3308.00,0.501977,448161.
3309.00,0.546305,488271.
3310.00,0.551568,493520.
3311.00,0.530032,474795.
3312.00,0.487616,437291.
3313.00,0.432874,388660.
3314.00,0.394708,354836.
3315.00,0.384108,345757.
3316.00,0.408243,367956.
3317.00,0.451327,407278.
3318.00,0.490339,442985.
3319.00,0.507246,458772.
3320.00,0.501289,453899.
3321.00,0.472663,428450.
3322.00,0.410936,372905.
3323.00,0.365511,332140.
3324.00,0.399590,363633.
3325.00,0.479507,436861.
3326.00,0.514293,468999.
3327.00,0.477813,436200.
3328.00,0.441793,403810.
3329.00,0.425101,389041.
3330.00,0.453205,415316.
3331.00,0.503877,462261.
3332.00,0.510134,468496.
3333.00,0.496224,456248.
3334.00,0.466138,429045.
3335.00,0.399456,368066.
3336.00,0.352492,325239.
3337.00,0.383748,354583.
3338.00,0.448847,415190.
3339.00,0.464993,430544.
3340.00,0.439543,407443.
3341.00,0.428253,397463.
3342.00,0.433130,402482.
3343.00,0.462306,430113.
3344.00,0.488083,454602.
3345.00,0.506237,472057.
3346.00,0.512278,478209.
3347.00,0.474975,443839.
3348.00,0.394558,369073.
3349.00,0.325392,304785.
3350.00,0.362931,340493.
3351.00,0.475923,446992.
3352.00,0.550483,517507.
3353.00,0.547256,514984.
3354.00,0.514698,484923.
3355.00,0.522248,492652.
3356.00,0.536622,506761.
3357.00,0.510547,482622.
3358.00,0.417860,395362.
3359.00,0.289352,274052.
3360.00,0.203864,193342.
3361.00,0.189764,180271.
3362.00,0.263802,250980.
3363.00,0.379352,361251.
3364.00,0.449629,428568.
3365.00,0.472219,450566.
3366.00,0.458496,437929.
3367.00,0.413755,395613.
3368.00,0.354253,339091.
3369.00,0.304083,291418.
3370.00,0.285305,273765.
3371.00,0.277909,266963.
3372.00,0.266479,256291.
3373.00,0.295859,284945.
3374.00,0.376557,363098.
3375.00,0.469719,453405.
3376.00,0.534382,516329.
3377.00,0.542902,525088.
3378.00,0.502259,486266.
3379.00,0.410173,397492.
3380.00,0.319546,310058.
3381.00,0.329121,319847.
3382.00,0.390936,380310.
3383.00,0.401167,390643.
3384.00,0.407992,397780.
3385.00,0.451253,440477.
3386.00,0.487064,475914.
3387.00,0.458557,448473.
3388.00,0.405958,397520.
3389.00,0.434162,425710.
3390.00,0.474100,465317.
3391.00,0.436977,429275.
3392.00,0.366484,360419.
3393.00,0.327239,322250.
3394.00,0.347037,342216.
3395.00,0.408472,403294.
3396.00,0.476106,470581.
3397.00,0.518142,512665.
3398.00,0.538753,533640.
3399.00,0.569565,564822.
3400.00,0.620312,615804.
3401.00,0.597075,593264.
3402.00,0.508744,506044.
3403.00,0.463130,461238.
3404.00,0.447680,446358.
3405.00,0.446442,445637.
3406.00,0.449592,449262.
3407.00,0.445463,445636.
3408.00,0.456300,456987.
3409.00,0.457524,458708.
3410.00,0.485174,487034.
3411.00,0.541856,544496.
3412.00,0.516620,519562.
3413.00,0.400467,403119.
3414.00,0.309957,312415.
3415.00,0.317317,320310.
3416.00,0.389514,393625.
3417.00,0.446673,451834.
3418.00,0.496285,502573.
3419.00,0.550936,558505.
3420.00,0.577961,586495.
3421.00,0.578871,588039.
3422.00,0.553465,562797.
3423.00,0.495435,504322.
3424.00,0.464987,473917.
3425.00,0.491537,501558.
3426.00,0.500396,511095.
3427.00,0.497220,508452.
3428.00,0.562757,576178.
3429.00,0.659990,676423.
3430.00,0.695933,713908.
3431.00,0.636748,653808.
3432.00,0.536366,551310.
3433.00,0.464742,478278.
3434.00,0.492151,507170.
3435.00,0.570217,588212.
3436.00,0.584637,603643.
3437.00,0.552399,570956.
3438.00,0.523656,541835.
3439.00,0.468922,485645.
3440.00,0.352551,365447.
3441.00,0.266123,276227.
3442.00,0.267405,277932.
3443.00,0.288092,299749.
3444.00,0.312738,325764.
3445.00,0.350551,365536.
3446.00,0.386462,403436.
3447.00,0.474519,495961.
3448.00,0.581618,608468.
3449.00,0.622832,652202.
3450.00,0.636042,666729.
3451.00,0.604579,634364.
3452.00,0.495534,520888.
3453.00,0.437369,462207.
3454.00,0.512831,545638.
3455.00,0.600900,641958.
3456.00,0.594953,637013.
3457.00,0.513882,550941.
3458.00,0.430219,461786.
3459.00,0.418659,449933.
3460.00,0.440233,473590.
3461.00,0.441290,475209.
3462.00,0.467650,504172.
3463.00,0.529025,570932.
3464.00,0.561170,606152.
3465.00,0.511953,553471.
3466.00,0.457780,495479.
3467.00,0.489800,530774.
3468.00,0.544094,590168.
3469.00,0.558867,606778.
3470.00,0.578549,628813.
3471.00,0.592552,644644.
3472.00,0.559735,609510.
3473.00,0.495033,539573.
3474.00,0.420913,459238.
3475.00,0.352206,384672.
3476.00,0.318125,347870.
3477.00,0.354543,388172.
3478.00,0.422761,463303.
3479.00,0.464828,509888.
3480.00,0.509823,559834.
3481.00,0.563641,619540.
3482.00,0.573959,631435.
3483.00,0.526184,579434.
3484.00,0.504655,556360.
3485.00,0.540877,596968.
3486.00,0.626646,692356.
3487.00,0.682290,754480.
3488.00,0.638625,706813.
3489.00,0.550445,609798.
3490.00,0.463307,513802.
3491.00,0.434684,482629.
3492.00,0.429153,476935.
3493.00,0.399064,443960.
3494.00,0.416185,463531.
3495.00,0.423339,471908.
3496.00,0.393758,439378.
3497.00,0.407742,455534.
3498.00,0.496168,554946.
3499.00,0.591725,662397.
3500.00,0.611488,685119.
3501.00,0.605459,679067.
3502.00,0.627481,704513.
3503.00,0.659370,741038.
3504.00,0.633747,712857.
3505.00,0.556891,627028.
3506.00,0.522549,589034.
3507.00,0.545163,615194.
3508.00,0.576544,651225.
3509.00,0.550715,622581.
3510.00,0.480092,543289.
3511.00,0.467260,529384.
3512.00,0.469490,532387.
3513.00,0.414540,470493.
3514.00,0.366453,416389.
3515.00,0.393198,447341.
3516.00,0.486113,553627.
