wave,norm,flux
3000.00,0.466508,362343.
3001.00,0.290196,225593.
3002.00,0.218434,170106.
3003.00,0.247499,193147.
3004.00,0.366599,286536.
3005.00,0.466384,364892.
3006.00,0.440409,344924.
3007.00,0.346969,272106.
3008.00,0.288128,226364.
3009.00,0.318720,250894.
3010.00,0.418722,330089.
3011.00,0.468008,369333.
3012.00,0.434085,343025.
3013.00,0.425723,336974.
3014.00,0.441207,349723.
3015.00,0.429693,341054.
3016.00,0.397554,315980.
3017.00,0.341623,271876.
3018.00,0.267343,213044.
3019.00,0.193907,154725.
3020.00,0.134301,107336.
3021.00,0.152286,122046.
3022.00,0.287720,230933.
3023.00,0.422601,339465.
3024.00,0.427648,343834.
3025.00,0.350716,282353.
3026.00,0.339393,273788.
3027.00,0.447739,361764.
3028.00,0.534875,432630.
3029.00,0.520434,421435.
3030.00,0.457562,371026.
3031.00,0.421939,342699.
3032.00,0.466627,379626.
3033.00,0.533461,434550.
3034.00,0.554782,452513.
3035.00,0.565543,461919.
3036.00,0.507361,414830.
3037.00,0.369727,302682.
3038.00,0.336815,276324.
3039.00,0.419256,344455.
3040.00,0.444356,365447.
3041.00,0.389601,320815.
3042.00,0.356066,293689.
3043.00,0.400278,330701.
3044.00,0.470775,389452.
3045.00,0.506175,419244.
3046.00,0.467722,387813.
3047.00,0.361830,300392.
3048.00,0.331946,276130.
3049.00,0.409145,340860.
3050.00,0.467848,390233.
3051.00,0.519188,433683.
3052.00,0.568863,475744.
3053.00,0.514401,430660.
3054.00,0.441159,369915.
3055.00,0.448654,376780.
3056.00,0.428549,360269.
3057.00,0.318930,268396.
3058.00,0.230141,193999.
3059.00,0.240027,202745.
3060.00,0.334526,282993.
3061.00,0.438219,371121.
3062.00,0.474228,402046.
3063.00,0.434300,368622.
3064.00,0.381204,324024.
3065.00,0.365900,311457.
3066.00,0.326958,278628.
3067.00,0.285700,243865.
3068.00,0.339223,290069.
3069.00,0.435150,372535.
3070.00,0.472017,404540.
3071.00,0.453269,388947.
3072.00,0.415550,357063.
3073.00,0.413765,356075.
3074.00,0.428037,368805.
3075.00,0.392220,338362.
3076.00,0.389250,336344.
3077.00,0.428725,370929.
3078.00,0.426709,369625.
3079.00,0.423804,367639.
3080.00,0.442734,384573.
3081.00,0.444766,386822.
3082.00,0.431978,376193.
3083.00,0.432671,377345.
3084.00,0.495647,432930.
3085.00,0.586487,512880.
3086.00,0.572893,501474.
3087.00,0.456895,400396.
3088.00,0.377581,331410.
3089.00,0.366170,321858.
3090.00,0.354023,311570.
3091.00,0.331521,292141.
3092.00,0.303337,267648.
3093.00,0.289338,255683.
3094.00,0.331337,293246.
3095.00,0.382193,338633.
3096.00,0.370177,328339.
3097.00,0.344252,305776.
3098.00,0.337141,299826.
3099.00,0.275045,244830.
3100.00,0.193154,172172.
3101.00,0.187404,167388.
3102.00,0.274481,245563.
3103.00,0.412164,369143.
3104.00,0.499117,447437.
3105.00,0.491296,440911.
3106.00,0.472534,424669.
3107.00,0.506444,455798.
3108.00,0.566147,510165.
3109.00,0.574225,517999.
3110.00,0.512535,462903.
3111.00,0.487985,441403.
3112.00,0.537665,487003.
3113.00,0.559682,507497.
3114.00,0.522844,474671.
3115.00,0.500030,454569.
3116.00,0.475841,433094.
3117.00,0.428187,390209.
3118.00,0.397654,362874.
3119.00,0.378999,346287.
3120.00,0.356040,325724.
3121.00,0.345598,316597.
3122.00,0.360759,330953.
3123.00,0.420358,386155.
3124.00,0.472487,434500.
3125.00,0.449421,413738.
3126.00,0.428306,394860.
3127.00,0.448991,414459.
3128.00,0.440739,407294.
3129.00,0.410336,379682.
3130.00,0.399940,370555.
3131.00,0.406929,377519.
3132.00,0.413182,383779.
3133.00,0.397040,369218.
3134.00,0.382445,356126.
3135.00,0.406132,378692.
3136.00,0.433780,404957.
3137.00,0.462557,432380.
3138.00,0.504781,472421.
3139.00,0.522650,489714.
3140.00,0.535955,502823.
3141.00,0.550500,517062.
3142.00,0.485264,456204.
3143.00,0.334476,314735.
3144.00,0.227986,214849.
3145.00,0.255602,241256.
3146.00,0.337626,318935.
3147.00,0.384195,363216.
3148.00,0.451014,426804.
3149.00,0.538609,510103.
3150.00,0.567345,537730.
3151.00,0.556475,527867.
3152.00,0.525871,499266.
3153.00,0.507210,481988.
3154.00,0.488963,465034.
3155.00,0.443722,422350.
3156.00,0.369214,351697.
3157.00,0.275582,262721.
3158.00,0.220664,210592.
3159.00,0.228868,218659.
3160.00,0.256080,244853.
3161.00,0.259755,248571.
3162.00,0.287124,275046.
3163.00,0.353507,338925.
3164.00,0.390486,374647.
3165.00,0.390523,374994.
3166.00,0.400278,384709.
3167.00,0.413294,397540.
3168.00,0.388342,373831.
3169.00,0.390708,376509.
3170.00,0.486781,469537.
3171.00,0.581662,561460.
3172.00,0.599588,579187.
3173.00,0.567730,548857.
3174.00,0.536783,519403.
3175.00,0.554316,536878.
3176.00,0.605235,586673.
3177.00,0.584617,567066.
3178.00,0.475497,461553.
3179.00,0.360805,350524.
3180.00,0.304246,295873.
3181.00,0.291353,283587.
3182.00,0.286202,278818.
3183.00,0.302170,294644.
3184.00,0.337588,329462.
3185.00,0.379849,371015.
3186.00,0.419705,410271.
3187.00,0.447013,437324.
3188.00,0.483601,473524.
3189.00,0.514386,504047.
3190.00,0.467231,458130.
3191.00,0.352634,346012.
3192.00,0.272572,267722.
3193.00,0.283689,278951.
3194.00,0.347138,341621.
3195.00,0.393746,387771.
3196.00,0.417042,411045.
3197.00,0.465778,459497.
3198.00,0.542378,535477.
3199.00,0.549062,542425.
3200.00,0.490740,485196.
3201.00,0.473734,468813.
3202.00,0.483238,478610.
3203.00,0.504537,500136.
3204.00,0.548146,543804.
3205.00,0.562524,558477.
3206.00,0.547305,543799.
3207.00,0.528813,525844.
3208.00,0.497461,495052.
3209.00,0.455933,454084.
3210.00,0.413561,412216.
3211.00,0.384397,383467.
3212.00,0.362136,361542.
3213.00,0.332051,331774.
3214.00,0.341200,341252.
3215.00,0.416039,416454.
