wave,norm,flux
3000.00,0.920107,694915.
3001.00,0.872597,659490.
3002.00,0.846348,640258.
3003.00,0.845307,640149.
3004.00,0.886373,671959.
3005.00,0.926253,702878.
3006.00,0.922719,700871.
3007.00,0.892358,678496.
3008.00,0.881698,671101.
3009.00,0.899559,685406.
3010.00,0.924085,704800.
3011.00,0.931146,710882.
3012.00,0.923675,705892.
3013.00,0.926760,708971.
3014.00,0.924186,707701.
3015.00,0.911349,698570.
3016.00,0.898530,689433.
3017.00,0.879776,675716.
3018.00,0.863966,664241.
3019.00,0.840074,646496.
3020.00,0.792078,610161.
3021.00,0.788890,608390.
3022.00,0.869848,671523.
3023.00,0.927301,716521.
3024.00,0.915419,707998.
3025.00,0.881481,682427.
3026.00,0.876146,679010.
3027.00,0.917563,711832.
3028.00,0.948394,736437.
3029.00,0.931561,724043.
3030.00,0.898945,699387.
3031.00,0.888123,691668.
3032.00,0.906597,706771.
3033.00,0.938110,732049.
3034.00,0.956785,747337.
3035.00,0.962538,752550.
3036.00,0.945052,739572.
3037.00,0.904422,708463.
3038.00,0.893435,700578.
3039.00,0.917072,719814.
3040.00,0.917430,720760.
3041.00,0.891889,701365.
3042.00,0.881021,693517.
3043.00,0.900666,709680.
3044.00,0.917966,723993.
3045.00,0.924396,729761.
3046.00,0.924793,730764.
3047.00,0.911530,720969.
3048.00,0.914384,723943.
3049.00,0.935272,741186.
3050.00,0.938744,744630.
3051.00,0.938175,744898.
3052.00,0.946166,751952.
3053.00,0.935747,744357.
3054.00,0.918179,731084.
3055.00,0.918885,732350.
3056.00,0.909034,725155.
3057.00,0.865223,690843.
3058.00,0.841444,672528.
3059.00,0.863078,690499.
3060.00,0.903900,723839.
3061.00,0.936195,750384.
3062.00,0.940320,754371.
3063.00,0.916453,735890.
3064.00,0.880976,708066.
3065.00,0.853595,686701.
3066.00,0.818690,659228.
3067.00,0.802321,646686.
3068.00,0.836198,674651.
3069.00,0.886857,716176.
3070.00,0.910131,735618.
3071.00,0.897597,726131.
3072.00,0.875491,708913.
3073.00,0.883090,715753.
3074.00,0.900562,730570.
3075.00,0.890949,723424.
3076.00,0.897457,729404.
3077.00,0.915772,744957.
3078.00,0.906728,738261.
3079.00,0.902096,735177.
3080.00,0.908898,741393.
3081.00,0.903757,737861.
3082.00,0.897602,733510.
3083.00,0.903609,739100.
3084.00,0.920399,753520.
3085.00,0.936067,767033.
3086.00,0.931466,763932.
3087.00,0.905373,743191.
3088.00,0.880870,723738.
3089.00,0.865085,711409.
3090.00,0.847774,697798.
3091.00,0.826434,680837.
3092.00,0.793748,654490.
3093.00,0.788948,651165.
3094.00,0.843313,696682.
3095.00,0.882078,729308.
3096.00,0.865991,716613.
3097.00,0.845627,700408.
3098.00,0.852949,707105.
3099.00,0.835362,693104.
3100.00,0.798293,662943.
3101.00,0.788693,655578.
3102.00,0.812239,675775.
3103.00,0.863224,718832.
3104.00,0.893218,744425.
3105.00,0.880350,734325.
3106.00,0.874931,730474.
3107.00,0.908658,759320.
3108.00,0.941344,787299.
3109.00,0.937016,784334.
3110.00,0.910329,762658.
3111.00,0.900811,755364.
3112.00,0.912843,766127.
3113.00,0.921129,773742.
3114.00,0.920993,774299.
3115.00,0.929497,782132.
3116.00,0.925249,779207.
3117.00,0.888958,749273.
3118.00,0.856895,722890.
3119.00,0.851641,719092.
3120.00,0.857949,725046.
3121.00,0.868818,734868.
3122.00,0.886115,750147.
3123.00,0.907060,768527.
3124.00,0.901172,764157.
3125.00,0.869345,737800.
3126.00,0.870488,739441.
3127.00,0.899265,764533.
3128.00,0.905579,770530.
3129.00,0.893216,760649.
3130.00,0.879948,749992.
3131.00,0.881775,752201.
3132.00,0.894476,763678.
3133.00,0.894751,764546.
3134.00,0.895289,765662.
3135.00,0.910675,779478.
3136.00,0.916731,785308.
3137.00,0.921790,790317.
3138.00,0.940371,806926.
3139.00,0.950364,816172.
3140.00,0.951422,817760.
3141.00,0.947790,815306.
3142.00,0.911855,785004.
3143.00,0.822357,708514.
3144.00,0.761983,657110.
3145.00,0.804190,694144.
3146.00,0.865519,747666.
3147.00,0.881371,761962.
3148.00,0.895650,774962.
3149.00,0.927757,803401.
3150.00,0.942529,816842.
3151.00,0.935346,811267.
3152.00,0.919696,798348.
3153.00,0.912833,793044.
3154.00,0.909545,790831.
3155.00,0.902987,785767.
3156.00,0.888872,774104.
3157.00,0.864390,753389.
3158.00,0.848296,739978.
3159.00,0.855764,747112.
3160.00,0.860910,752189.
3161.00,0.832751,728158.
3162.00,0.822494,719811.
3163.00,0.864752,757430.
3164.00,0.908273,796166.
3165.00,0.919082,806264.
3166.00,0.913794,802264.
3167.00,0.905441,795562.
3168.00,0.888971,781712.
3169.00,0.887462,781033.
3170.00,0.915015,805936.
3171.00,0.943901,832032.
3172.00,0.957643,844803.
3173.00,0.957738,845548.
3174.00,0.948929,838430.
3175.00,0.943647,834434.
3176.00,0.949072,839895.
3177.00,0.944500,836492.
3178.00,0.921054,816357.
3179.00,0.886202,786080.
3180.00,0.855566,759512.
