wave,norm,flux
3000.00,0.918833,697100.
3001.00,0.869236,659923.
3002.00,0.840902,639010.
3003.00,0.838209,637633.
3004.00,0.880186,670268.
3005.00,0.920256,701456.
3006.00,0.914957,698081.
3007.00,0.884119,675229.
3008.00,0.874675,668717.
3009.00,0.895539,685369.
3010.00,0.920717,705334.
3011.00,0.926156,710187.
3012.00,0.915480,702701.
3013.00,0.917038,704609.
3014.00,0.918532,706448.
3015.00,0.908339,699296.
3016.00,0.895550,690130.
3017.00,0.876731,676292.
3018.00,0.858829,663139.
3019.00,0.833904,644510.
3020.00,0.786938,608803.
3021.00,0.782768,606247.
3022.00,0.860938,667475.
3023.00,0.917977,712329.
3024.00,0.908705,705779.
3025.00,0.877090,681883.
3026.00,0.871452,678190.
3027.00,0.909959,708859.
3028.00,0.939760,732742.
3029.00,0.925927,722617.
3030.00,0.896423,700267.
3031.00,0.886841,693468.
3032.00,0.904741,708158.
3033.00,0.934392,732059.
3034.00,0.952357,746835.
3035.00,0.959271,752959.
3036.00,0.942218,740250.
3037.00,0.901631,709030.
3038.00,0.891679,701908.
3039.00,0.915620,721434.
3040.00,0.914665,721328.
3041.00,0.888785,701572.
3042.00,0.879848,695197.
3043.00,0.901043,712623.
3044.00,0.918633,727200.
3045.00,0.924822,732780.
3046.00,0.924611,733284.
3047.00,0.909718,722137.
3048.00,0.910548,723492.
3049.00,0.930947,740385.
3050.00,0.934332,743748.
3051.00,0.933512,743791.
3052.00,0.941184,750590.
3053.00,0.928775,741359.
3054.00,0.907887,725361.
3055.00,0.906681,725074.
3056.00,0.897819,718618.
3057.00,0.857712,687132.
3058.00,0.836722,670965.
3059.00,0.858701,689244.
3060.00,0.899239,722441.
3061.00,0.931734,749209.
3062.00,0.936757,753907.
3063.00,0.914667,736774.
3064.00,0.880913,710227.
3065.00,0.854124,689251.
3066.00,0.818976,661477.
3067.00,0.803282,649423.
3068.00,0.837750,677930.
3069.00,0.887857,719112.
3070.00,0.910947,738441.
3071.00,0.898002,728574.
3072.00,0.875480,710944.
3073.00,0.882937,717664.
3074.00,0.899804,732008.
3075.00,0.889842,724536.
3076.00,0.895518,729829.
3077.00,0.912310,744157.
3078.00,0.903311,737454.
3079.00,0.899690,735160.
3080.00,0.906511,741381.
3081.00,0.901285,737745.
3082.00,0.895761,733874.
3083.00,0.901871,739536.
3084.00,0.917193,752759.
3085.00,0.926793,761286.
3086.00,0.903879,743079.
3087.00,0.854830,703361.
3088.00,0.824446,678977.
3089.00,0.819627,675601.
3090.00,0.814600,672031.
3091.00,0.797512,658490.
3092.00,0.764764,631989.
3093.00,0.756139,625441.
3094.00,0.802464,664354.
3095.00,0.839911,695915.
3096.00,0.826004,684944.
3097.00,0.803878,667186.
3098.00,0.807971,671163.
3099.00,0.794431,660448.
3100.00,0.763121,634965.
3101.00,0.764487,636672.
3102.00,0.796833,664188.
3103.00,0.844906,704853.
3104.00,0.865370,722496.
3105.00,0.849264,709634.
3106.00,0.843995,705850.
3107.00,0.874948,732376.
3108.00,0.912896,764762.
3109.00,0.911101,763863.
3110.00,0.884973,742575.
3111.00,0.871333,731757.
3112.00,0.879012,738833.
3113.00,0.889675,748408.
3114.00,0.883867,744135.
3115.00,0.892476,752018.
3116.00,0.888059,748880.
3117.00,0.844577,712787.
3118.00,0.808707,683086.
3119.00,0.779752,659173.
3120.00,0.768785,650462.
3121.00,0.787323,666705.
3122.00,0.810709,687073.
3123.00,0.842811,714862.
3124.00,0.847247,719170.
3125.00,0.817253,694274.
3126.00,0.819546,696821.
3127.00,0.838307,713340.
3128.00,0.838307,713910.
3129.00,0.837884,714125.
3130.00,0.827485,705823.
3131.00,0.827077,706064.
3132.00,0.838555,716431.
3133.00,0.834430,713471.
3134.00,0.840598,719340.
3135.00,0.863884,739855.
3136.00,0.868423,744321.
3137.00,0.877659,752855.
3138.00,0.901927,774283.
3139.00,0.911971,783519.
3140.00,0.919324,790460.
3141.00,0.916067,788262.
3142.00,0.851643,733326.
3143.00,0.665983,573817.
3144.00,0.499229,430555.
3145.00,0.554711,478947.
3146.00,0.705345,609434.
3147.00,0.782027,676147.
3148.00,0.819644,709219.
3149.00,0.864382,748510.
3150.00,0.893502,774308.
3151.00,0.899416,780019.
3152.00,0.882976,766343.
3153.00,0.871249,756765.
3154.00,0.871103,757213.
3155.00,0.835512,726791.
3156.00,0.739418,643649.
3157.00,0.623418,543095.
3158.00,0.576593,502757.
3159.00,0.618944,540143.
3160.00,0.675051,589529.
3161.00,0.689894,602926.
3162.00,0.705473,617031.
3163.00,0.747611,654389.
3164.00,0.782186,685158.
3165.00,0.804677,705382.
3166.00,0.808284,709062.
3167.00,0.803449,705354.
3168.00,0.798310,701363.
3169.00,0.792476,696771.
3170.00,0.817169,719047.
3171.00,0.860179,757456.
3172.00,0.884215,779185.
3173.00,0.889164,784117.
3174.00,0.880789,777307.
3175.00,0.878846,776178.
3176.00,0.886248,783293.
3177.00,0.884821,782603.
3178.00,0.874254,773816.
3179.00,0.836205,740659.
3180.00,0.787617,698144.
3181.00,0.759946,674127.
3182.00,0.752473,668003.
3183.00,0.768518,682758.
3184.00,0.782518,695690.
3185.00,0.784492,697958.
3186.00,0.800744,712942.
3187.00,0.809150,720937.
3188.00,0.813746,725567.
3189.00,0.829762,740381.
3190.00,0.817701,730115.
3191.00,0.778435,695553.
3192.00,0.753219,673525.
3193.00,0.761341,681302.
3194.00,0.789146,706692.
3195.00,0.805340,721697.
3196.00,0.803599,720637.
3197.00,0.795014,713460.
3198.00,0.828503,744073.
3199.00,0.860511,773335.
3200.00,0.845504,760374.
3201.00,0.848676,763792.
3202.00,0.861841,776178.
3203.00,0.858980,774146.
3204.00,0.863331,778623.
3205.00,0.877260,791749.
3206.00,0.898389,811386.
3207.00,0.897160,810817.
3208.00,0.875083,791422.
3209.00,0.869239,786695.
3210.00,0.857319,776434.
3211.00,0.835903,757571.
3212.00,0.827684,750648.
3213.00,0.815443,740054.
3214.00,0.810287,735904.
3215.00,0.837514,761169.
3216.00,0.852569,775360.
3217.00,0.841417,765743.
3218.00,0.848398,772646.
3219.00,0.869068,792012.
3220.00,0.887070,808967.
3221.00,0.892006,814009.
3222.00,0.875929,799879.
3223.00,0.873778,798476.
3224.00,0.884338,808672.
3225.00,0.882754,807762.
3226.00,0.872934,799312.
3227.00,0.850191,779005.
3228.00,0.823742,755286.
3229.00,0.818693,751184.
3230.00,0.844543,775437.
3231.00,0.868305,797775.
3232.00,0.870629,800432.
3233.00,0.856404,787871.
3234.00,0.833378,767202.
3235.00,0.825760,760711.
3236.00,0.833177,768066.
3237.00,0.864217,797224.
3238.00,0.888172,819836.
3239.00,0.871945,805382.
3240.00,0.878985,812447.
3241.00,0.899526,831969.
3242.00,0.897394,830536.
3243.00,0.901674,835056.
3244.00,0.915991,848874.
